N° Série;Latitude;Longitude;18/3;19/3;20/3;21/3;22/3;23/3;24/3
ED223110495;43.6236365;3.8922978;1422;1516;1272;1485;1348;749;529
ED223110496;43.609783;3.8985888;1720;1924;1795;1835;1667;756;594
ED223110497;43.5969973;3.8837306;435;460;394;430;386;177;139
ED223110500;43.6089867;3.8417193;331;390;330;340;382;223;132
ED223110501;43.5842845;3.8610253;108;97;92;81;Null;46;40
X2H19070220;43.6096992492676;3.89693999290466;1639;1967;1685;1895;1667;969;996
X2H20042632;43.5907;3.81324;Null;Null;Null;Null;Null;Null;Null
X2H20042633;43.61465;3.8336;1242;1367;1183;1213;1232;563;514
X2H20042634;43.57926;3.93327;197;194;203;190;157;56;73
X2H20042635;43.57883;3.93324;767;821;625;759;684;400;411
X2H20063161;43.6157418;3.9096322;Null;Null;Null;Null;Null;Null;Null
X2H20063162;43.6138841;3.8684671;2371;2604;2318;2479;2307;1218;678
X2H20063163;43.6266977;3.8956288;1054;1212;Null;1197;1078;632;442
X2H20063164;43.6266977;3.8956288;114;109;98;82;157;115;Null
X2H20104132;43.5907;3.81324;106;152;82;116;126;141;94
X2H21070341;43.62387;3.85339;600;Null;596;Null;606;243;177
X2H21070342;43.62387;3.85339;Null;678;613;708;620;237;180
X2H21070343;43.67179;3.867914;21;29;29;22;Null;48;Null
X2H21070344;43.606275;3.863965;2404;Null;2265;2530;2499;1812;1306
X2H21070345;43.585203;3.859721;174;Null;141;164;Null;84;57
X2H21070346;43.671214;3.913031;226;Null;262;271;Null;207;359
X2H21070347;43.67179;3.867914;62;76;54;67;Null;29;27
X2H21070348;43.610301;3.913589;726;750;674;713;;197;197
X2H21070349;43.631989;3.852038;2620;2837;2749;2663;Null;1048;722
X2H21070350;43.539352;3.887153;302;321;256;324;293;188;254
X2H21070351;43.584349;3.907998;1209;1394;861;1337;1349;1061;1295
X2H21111120;43.6168;3.868;746;874;822;844;744;390;264
X2H21111121;43.6147;3.8699;898;996;982;1013;903;496;364
X2H22043029;43.6489091;3.855992;495;531;381;440;408;107;129
X2H22043030;43.6149319;3.8156247;769;948;693;867;753;275;249
X2H22043031;43.6376009;3.9295381;193;189;186;213;200;135;77
X2H22043032;43.63775079;3.9297263;37;58;52;29;40;23;28
X2H22043033;43.59888;3.89867;2193;2490;1845;2303;2307;1531;1789
X2H22043034;43.60381;3.8677;558;662;543;608;578;321;200
X2H22043035;43.60383;3.86779;Null;225;526;561;616;512;502
X2H22104765;43.538;3.6988;130;240;123;223;156;119;247
X2H22104766;43.6452;3.8224;410;460;351;469;434;225;183
X2H22104767;43.6316;3.915;769;854;696;773;686;342;241
X2H22104768;43.6115;3.8899;906;1013;977;997;873;384;336
X2H22104769;43.5754;3.8617;68;71;Null;87;67;66;44
X2H22104770;43.5842;3.8613;158;180;141;152;144;78;58
X2H22104771;43.6233;3.9089;220;282;208;218;170;70;68
X2H22104772;43.6232;3.9089;548;623;524;569;450;97;83
X2H22104773;43.614;3.8981;483;551;487;527;488;307;243
X2H22104774;43.614;3.8981;495;517;451;496;439;287;225
X2H22104775;43.6001;3.8776;546;604;520;546;555;296;233
X2H22104776;43.6001;3.8776;477;494;408;474;407;Null;219
X2H22104777;43.614;3.8847;2259;2545;2306;2512;2197;1069;1036
XTH19101158;43.6162094554924;3.87440800666809;2423;2744;2643;2620;2380;Null;1037
XTH21015106;43.589824;3.800261;321;490;252;389;364;254;332
XTH24072390;43.660053;3.900942;308;362;329;317;288;198;189
